"id";"name";"team_id";"value";"sporza_name"
"375";"Faris Haroun";"13";"7";"Faris Haroun"
"376";"Egor Nazaryna";"13";"5";"Egor Nazaryna"
"377";"Geoffry Hairemans";"13";"10";"Geoffry Hairemans"
"378";"Reda Jaadi";"13";"4";"Reda Jaadi"
"379";"Ivo";"13";"12";"Ivo"
"380";"Amara Baby";"13";"10";"Amara Baby"
"381";"Didier Lamkel Ze";"13";"6";"Didier Lamkel Ze"
"382";"Lior Refaelov";"13";"6";"Lior Refaelov"
"383";"Zotsara Randriambololona";"13";"2";"Zotsara Randriambololona"
"384";"Dieumerci Mbokani";"13";"35";"Dieumerci Mbokani"
"385";"William Owusu";"13";"15";"William Owusu"
"386";"Jonathan Bolingi";"13";"10";"Jonathan Bolingi"
"387";"Sammy Bossut";"14";"8";"Sammy Bossut"
"388";"Louis Bostyn";"14";"6";"Louis Bostyn"
"389";"Eike Bansen";"14";"1";"Eike Bansen"
"390";"Marvin Baudry";"14";"8";"Marvin Baudry"
"391";"Michaël Heylen";"14";"5";"Michaël Heylen"
"392";"Marco Bürki";"14";"4";"Marco Bürki"
"393";"Johan Lædre Bjørdal";"14";"4";"Johan Lædre Bjørdal"
"394";"Erdin Demir";"14";"8";"Erdin Demir"
"395";"Bryan Verboom";"14";"4";"Bryan Verboom"
"396";"Kingsley Madu";"14";"4";"Kingsley Madu"
"397";"Sandy Walsh";"14";"10";"Sandy Walsh"
"398";"Davy De fauw";"14";"2";"Davy De fauw"
"399";"Damien Marcq";"14";"10";"Damien Marcq"
"400";"Florian Tardieu";"14";"9";"Florian Tardieu"
"401";"Hicham Faik";"14";"15";"Hicham Faik"
"402";"Urho Nissilä";"14";"3";"Urho Nissilä"
"403";"Theo Bongonda";"14";"28";"Theo Bongonda"
"404";"Nill De Pauw";"14";"13";"Nill De Pauw"
"405";"Henrik Rørvik Bjørdal";"14";"7";"Henrik Rørvik Bjørdal"
"406";"Mikael Soisalo";"14";"3";"Mikael Soisalo"
"407";"Thomas Buffel";"14";"1";"Thomas Buffel"
"408";"Mamadou Sylla";"14";"15";"Mamadou Sylla"
"409";"Chris Bedia";"14";"10";"Chris Bedia"
"410";"Hamdi Harbaoui";"14";"8";"Hamdi Harbaoui"
"411";"Lovre Kalinic";"15";"70";"Lovre Kalinic"
"412";"Colin Coosemans";"15";"15";"Colin Coosemans"
"413";"Yannick Thoelen";"15";"5";"Yannick Thoelen"
"414";"Jari De Busser";"15";"2";"Jari De Busser"
"415";"Dylan Bronn";"15";"40";"Dylan Bronn"
"416";"Igor Plastun";"15";"22";"Igor Plastun"
"417";"Sigurd Rosted";"15";"15";"Sigurd Rosted"
"418";"Timothy Derijck";"15";"15";"Timothy Derijck"
"419";"Nana Asare";"15";"13";"Nana Asare"
"420";"Thibault De Smet";"15";"3";"Thibault De Smet"
"421";"Anderson Arroyo";"15";"2";"Anderson Arroyo"
"422";"Arnaud Souquet";"15";"45";"Arnaud Souquet"
"423";"Birger Verstraete";"15";"40";"Birger Verstraete"
"424";"Anderson Esiti";"15";"30";"Anderson Esiti"
"425";"Renato Neto";"15";"25";"Renato Neto"
"426";"Eric Smith";"15";"8";"Eric Smith"
"427";"Brecht Dejaegere";"15";"35";"Brecht Dejaegere"
"428";"Vadis Odjidja Ofoe";"15";"25";"Vadis Odjidja Ofoe"
"429";"Nicolas Raskin";"15";"5";"Nicolas Raskin"
"430";"Giorgi Tsjakvetadze";"15";"50";"Giorgi Tsjakvetadze"
"431";"Franko Andrijaševic";"15";"30";"Franko Andrijaševic"
"432";"Philip Azango";"15";"8";"Azango Elayo"
"433";"Ahmed Mostafa";"15";"4";"Ahmed Mostafa"
"434";"Aboubakary Koita";"15";"4";"Aboubakary Koita"
"435";"Stallone Limbombe";"15";"15";"Stallone Limbombe"
"436";"Jean-Luc Dompé";"15";"9";"Jean-Luc Dompé"
"437";"Roman Jaremtsjoek";"15";"35";"Roman Jaremtsjoek"
"438";"Giorgi Kvilitaia";"15";"30";"Giorgi Kvilitaia"
"439";"Jonathan David";"15";"20";"Jonathan David"
"440";"Taiwo Awoniyi";"15";"15";"Taiwo Awoniyi"
"441";"Lucas Pirard";"16";"10";"Lucas Pirard"
"442";"Kenny Steppe";"16";"6";"Kenny Steppe"
"443";"Maxime Wenssens";"16";"1";"Maxime Wenssens"
"444";"Tibo Herbots";"16";"1";"Tibo Herbots"
"445";"Jorge Teixeira";"16";"6";"Jorge Teixeira"
